,House,Type_transaction,Huurprijs,Transactieprijs,Transactieprijs per m²,Aanvaarding,days_on_market,NVM makelaar,Adres,Plaats,Telefoon,E-mail,Oppervlakten_en_inhoud_Woonoppervlakte,Oppervlakten_en_inhoud_Externe bergruimte,Oppervlakten_en_inhoud_Inhoud,Indeling_Aantal kamers,Indeling_Aantal badkamers,Indeling_Badkamervoorz.,Indeling_Aantal woonlagen,Indeling_Voorzieningen,Energie_Verwarming,Energie_Warm water,Energie_C.V. ketel,Onderhoud_Binnen,Onderhoud_Buiten,Bouw_Type,Bouw_Soort,Bouw_Bouwvorm,Bouw_Bouwjaar,Buitenruimte_Ligging,Buitenruimte_Tuin,Bergruimte_Schuur/berging,Garage_Soort garage,Text_house,Servicekosten,VBO makelaar,Bouw_Bouwperiode,Parkeergelegenheid_Soort parkeergelegenheid,VGM makelaar,TAO makelaar,Energie_Energielabel,Energie_Isolatie,Buitenruimte_Totale oppervlakte,Bergruimte_Voorzieningen,prijsverloop_date,LMV makelaar,Oppervlakten_en_inhoud_Gebouwgebonden buitenruimte,Buitenruimte_Achtertuin,Buitenruimte_Achterom,Buitenruimte_Kwaliteit,VvE_checklist_VvE,VvE_checklist_VvE bijdrage,Buitenruimte_Balkon/dakterras,Buitenruimte_Plaats,Oppervlakten_en_inhoud_Overige inpandige ruimte,Garage_Capaciteit,Garage_Voorzieningen,Buitenruimte_Geen tuin,Bergruimte_Isolatie,Parkeergelegenheid_Parkeercapaciteit,Buitenruimte_Voortuin,Garage_Isolatie,Buitenruimte_Zijtuin,Buitenruimte_Patio/atrium
1,"Grote Belt 32, 1501 CX Zaandam",Direct verhuurd,"€ 1,- p.m.","€ 1.049,-","€ 10,28",In overleg,1,Van der Borden Huur & Beheer,Kennemerstraatweg 181,1814 GH  Alkmaar,072 - 5181800,verhuur@vanderborden.nl,102 m²,4 m²,300 m³,2 kamers (1 slaapkamer),1,"Douche, Ligbad",1 woonlaag,Mechanische ventilatie,C.V.-Ketel,C.V.-Ketel,"Intergas ( uit 2008, eigendom)",goed,goed,Appartement,Bovenwoning,bestaande bouw,2008,In centrum,Geen tuin,Inpandig,Parkeerplaats en geen garage,"LET OP: AAN DE FOTO'S KUNNEN GEEN RECHTEN WORDEN ONTLEEND
Deze mooie tussenwoning is gelegen in het centrum van Zaandam en maakt onderdeel uit van het nieuwbouwproject genaamd Funen, welke in 2008 is gerealiseerd. 
De Funen is gelegen aan de sfeervolle Zuiddijk nabij de Zaan en ligt op 5 minuten afstand van winkels, supermarkten, horecagelegenheden en niet te vergeten het Zaantheater. Tevens zijn busverbindingen op loopafstand en het NS-station op fietsafstand gelegen. 
De woning is voorzien van een eigen parkeerplaats op het binnenterrein van het appartementencomplex welke tegenover de woning is gelegen.
Indeling:
Entree, toilet, slaapkamer, badkamer en woonkamer met open keuken. De open keuken is voorzien van een vaatwasser, een koelvriescombinatie, een combimagnetron, een gaskookplaat, en een luxe afzuigkap. De vlizotrap in het appartement geeft toegang tot een ruime zolderkamer (circa 16 m2) die te gebruiken is als opslagruimte of als extra slaapkamer  
 Bijzonderheden:
- Woonoppervlakte ca. 102 m²; 
- De woning is per 1 december 2019 beschikbaar;
- De woning wordt voor onbepaalde tijd verhuurd, met een minimale periode van een jaar;
- De kale huurprijs bedraagt € 1.025,- per maand, dit is exclusief gas, water, elektra en gemeentelijke
  gebruikersbelastingen;
- Voor deze woning geldt een inkomenseis, het bruto-maandinkomen dient ca. 4x de huurprijs te bedragen;
- De waarborgsom bedraagt tweemaal de huurprijs;
- De woning is voorzien van een eigen parkeerplaats en berging;
- Mogelijkheid tot het bij huren van een extra parkeerplaats;
- Inschrijfprocedure voor dit appartement:
  Om in aanmerking te komen voor dit appartement kunt u zich op onze website www.vanderborden.nl inschrijven bij 
  Huur & Beheer -> Grote Belt 32. Er verschijnt een inschrijfbalk aan de onderkant van uw scherm. 
  Druk op de knop inschrijven om de inschrijving te starten.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,"Sint Annalaan 25 pp, 6214 AA Maastricht",In verhuur genomen,"€ 47,- p.m.","€ 47,-","€ 47,-",Per datum 01-02-2021,37,vb&t Verhuurmakelaars,Vestdijk 180,5611 CZ  Eindhoven,+31885454600,info@vbtverhuurmakelaars.nl,1 m²,-,6 m³,1 kamer,-,-,1 woonlaag,-,-,-,-,goed,goed,Appartement,Portiekflat,bestaande bouw,1987,-,Geen tuin,-,Parkeerplaats,"Parkeerterrein bij appartementencomplex Sint Annalaan te Maastricht (nog enkele parkeerplaatsen beschikbaar). 
Het parkeerterrein is zeer centraal gelegen nabij het Maastrichtse stadscentrum. Je loopt binnen enkele minuten het centrum van Maastricht binnen.
Interesse?
Ga in de woningpresentatie op onze website naar [REAGEER] en geef hiermee aan dat je geïnteresseerd bent.
Ook voor onze toewijzingscriteria verwijzen wij je door naar onze website.
** Vb&t streeft ernaar om je zo goed mogelijk aan een passende huurwoning te helpen. Om dit te realiseren verzoeken wij je om jezelf in te schrijven via onze website. Inschrijven is altijd kosteloos en geheel vrijblijvend. Je kunt je inschrijven voor woningen die direct beschikbaar zijn, maar ook voor woningen die mogelijk toekomstig beschikbaar komen. Op basis van de door jou verstrekte informatie word je door ons automatisch per e-mail geïnformeerd wanneer er woningen beschikbaar zijn die voldoen aan je woonwensen. Je kunt het inschrijfformulier vinden op onze website. 
**Deze informatie is met de grootst mogelijke zorg samengesteld. Toch kunnen wij niet altijd voorkomen dat de informatie enigszins afwijkt van hetgeen je in of rond de woning ziet of heeft gezien. Dit kan met name gelden voor de brochure tekst, de plattegronden en maatvoeringen. Hieraan kunnen dan ook geen rechten worden ontleend.**",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,"Van Heuven Goedhartlaan 4 D1, 3527 CK Utrecht",In verhuur genomen,"€ 225,- p.m.","€ 245,-","€ 20,42",In overleg,8,-,Amsterdamsestraatweg 562,3553 EP  Utrecht,030-2230231,info@domvast.nl,12 m²,-,29 m³,1 kamer,-,-,1 woonlaag,-,-,-,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,0,In woonwijk,Geen tuin,-,Geen garage,"In het studenten complex aan de Van Heuven Goedhartlaan in Utrecht bieden wij doorlopend kamers ter huur aan van ca. 11m² - 17m². Kamer 4D1 betreft heeft een oppervlakte van 12m².
Op elke verdieping bevinden zich vijf kamers, voorzien van een gedeelde badkamer, keuken en apart toilet. Elke kamer is voorzien van bergruimtes/ inloopkast en heeft een eigen wastafel met spiegel.
Extra voorzieningen
Het complex beschikt over twee fietsenstallingen. Aan de voorzijde is een buitenstalling welke is afgesloten met een hek. Inpandig is er de mogelijkheid om je fiets te stallen. Beide stallingen zijn enkel met een sleutel van het complex te betreden. Daarnaast biedt het complex de studenten de mogelijkheid om hun was te doen in de daarvoor bestemde wasruimte. Dit is geheel kosteloos en wasmiddel is aanwezig. Tot slot is er dagelijks een huismeester aanwezig.
Bereikbaarheid
De binnenstad is 10 minuten fietsen of 5 minuten met de sneltram. De diverse uitvalswegen A2, A12 en A27 zijn gemakkelijk bereikbaar. Op loopafstand bevinden zich een groot winkelcentrum en het openbaar vervoer. Park Transwijk, waar ook festivals worden georganiseerd, ligt eveneens op loopafstand, evenals een sportschool en sportvelden.
Bijzonderheden:
- Huurprijs is € 225,38
- Servicekosten € 119,07 (incl gebruik wasmachines/drogers, g/w/e, internet)
- Kamers zijn alleen beschikbaar voor studenten
- Roken en huisdieren zijn niet toegestaan
- Beschikbaar in overleg 
U dient over een netto maandinkomen van 3x de maandhuur (inclusief eventuele voorschotten/servicekosten) te beschikken. Is dat niet het geval dan is het mogelijk te huren met een garantsteller. In dat geval zal de garantsteller aan deze inkomenseis moeten voldoen. 
Om een bezichtiging in te plannen dient u zich vooraf in te schrijven via onze website. 
Na uw inschrijving kunt u een mail sturen met uw naam, telefoonnummer en het object dat u wilt bezichtigen. Telefonisch een afspraak inplannen is niet mogelijk.","€ 119,-",Domvast B.V.,1971-1980,Openbaar parkeren,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,"Beeklaan 53 A, 2562 AB 's-Gravenhage",In verhuur genomen,"€ 260,- p.m.","€ 595,-","€ 25,87",Direct,10,-,Prinses Beatrixlaan 582 toren C,2595 BM  'S-Gravenhage,070-3367055,denhaag@hof-rijnland.nl,23 m²,-,59 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,1932,-,Geen tuin,-,Geen garage,"Beeklaan 53 A te Den Haag – Per direct beschikbaar!
Selectie:
U kunt alleen online reageren op deze woning. Doe dit via de ‘reageer’-knop onderaan de pagina of via het contactformulier van Funda of Pararius. Wij maken een selectie voor de eerste kandidaten die kunnen bezichtigen. Telefonisch kunnen wij geen bezichtigingsafspraak voor u inplannen.
Indeling:
De kamer heeft een woonoppervlak van circa 23 m². Alle voorzieningen in de woning dienen gedeeld te worden met de andere bewoners van het pand. Er is een gedeelde keuken voorzien van inbouwapparatuur, een gedeelde badkamer met douche en wastafel en een gedeeld toilet. In de woning staat een wasmachine en droger.
Kenmerken:
- Kamer van 23 m² 
- Gedeelde keuken voorzien van inbouwapparatuur
- Gedeelde badkamer voorzien van een douche en wastafel
- Gedeeld toilet
- Servicekosten inclusief: gas/water/elektra/TV/internet
Omgeving:
De woning bevindt zich in het Valkenboskwartier in Den Haag. Op loopafstand van de woning liggen verschillende bus- en tramhaltes waarmee Holland Spoor en Centraal Station gemakkelijk én snel bereikbaar zijn. Ook het centrum van Den Haag is binnen enkele minuten te bereiken!
Huurvoorwaarden:
De voorwaarden die wij stellen aan u als nieuwe huurder van een woning in ons beheer kunt u op onze website terugvinden. In het hoofdmenu bovenaan de site onder het kopje “FAQ & downloads” kunt u meer informatie vinden over deze voorwaarden.
Aan de inhoud van deze informatie is de grootst mogelijke zorg besteed. Alle informatie is nadrukkelijk onder voorbehoud. Hieraan kunnen geen rechten worden ontleend.","€ 110,-",-,-,-,Van 't Hof Rijnland Vastgoedmanagement BV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"Van Heuven Goedhartlaan 4 H2, 3527 CK Utrecht",In verhuur genomen,"€ 262,- p.m.","€ 260,-","€ 20,-",Per datum 01-05-2021,16,-,Amsterdamsestraatweg 562,3553 EP  Utrecht,030-2230231,info@domvast.nl,13 m²,-,30 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,1959,-,Geen tuin,-,Geen garage,"In het studenten complex aan de Van Heuven Goedhartlaan in Utrecht bieden wij doorlopend kamers ter huur aan van ca. 11m2 - 14m2. Deze kamer is 13m2.
Op elke verdieping bevinden zich vijf kamers, voorzien van een gedeelde badkamer, keuken en apart toilet. Elke kamer is voorzien van bergruimtes/ inloopkast en heeft een eigen wastafel met spiegel.
Extra voorzieningen
Bij de centrale entree is een fietsenberging en een ruimte waar de wasvoorzieningen staan. 
Enkele dagdelen per week is een huismeester aanwezig.  
Bereikbaarheid
De binnenstad is 10 minuten fietsen of 5 minuten met de sneltram. De diverse uitvalswegen A2, A12 en A27 zijn gemakkelijk bereikbaar. Op loopafstand bevinden zich een groot winkelcentrum en het openbaar vervoer. Park Transwijk, waar ook festivals worden georganiseerd, ligt eveneens op loopafstand, evenals een sportschool en sportvelden.
U dient over een netto maandinkomen van 3x de maandhuur (inclusief eventuele voorschotten/servicekosten) te beschikken. Is dat niet het geval dan is het mogelijk te huren met een garantsteller. In dat geval zal de garantsteller aan deze inkomenseis moeten voldoen. 
Om een bezichtiging in te plannen dient u zich vooraf in te schrijven via onze website. 
Na uw inschrijving kunt u een mail sturen naar huren@domvast.nl met uw naam, telefoonnummer en het object dat u wilt bezichtigen. Telefonisch een afspraak inplannen is niet mogelijk. 
Bijzonderheden:
- Huurprijs is € 261,74
- Servicekosten € 113,60 (incl gebruik wasmachines/drogers, g/w/e, internet)
- Kamers zijn alleen beschikbaar voor studenten
- Roken en huisdieren zijn niet toegestaan
- Beschikbaar per 1 mei 2021","€ 114,-",Domvast B.V.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,"Schonenbergsingel 1 1, 6881 NL Velp",In verhuur genomen,"€ 280,- p.m.","€ 280,-","€ 15,56",Per datum 01-05-2021,17,-,Sonsbeekweg 12,6814 BA  Arnhem,0643000131,m.vanlaar@uvm.nl,18 m²,-,54 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,goed tot uitstekend,goed tot uitstekend,Appartement,Studentenkamer,bestaande bouw,1907,-,Geen tuin,Vrijstaand steen,Geen garage,"Per 1 mei 2021 te huur, kamer gelegen op de 2e verdieping in dit statige pand aan de Schonenbergsingel te Velp.  
De kamer is gelegen nabij centrum van Velp, openbaar vervoer en diverse scholen. Tevens is het centrum van Arnhem op korte afstand
De kamer is 18,4 m² en heeft een eigen wastafel, gedeelde keuken, badkamer, gezamenlijke tuin en berging.  
Bijzonderheden:
De huurprijs bedraagt € 425,- inclusief g/w/e/internet, witgoed en schoonmaak | Borgsom 1 maand huur | Huisdieren niet toegestaan | Maximaal 1 persoon! | Alleen geschikt voor studenten | Bepaalde tijd contract van max 1 jaar welk bij geen klachten verlengd zal worden.","€ 145,-",-,1906-1930,Openbaar parkeren,-,UVM,E (einddatum: 15-11-2030),Dubbel glas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,"Briljantstraat 60 (K1), 9743 NS Groningen",In verhuur genomen,"€ 310,- p.m.",-,-,-,13,-,Sontweg 15 a,9723 AT  Groningen,050-3646219,klantenservice@050vastgoed.nl,16 m²,-,48 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Studentenkamer,bestaande bouw,1970,-,Geen tuin,-,Geen garage,"PER 1 MEI BESCHIKBAAR: NETTE STUDENTENKAMER NABIJ ZERNIKE.
 
Aan de Briljantstraat is per 1 mei deze knusse kamer beschikbaar. De kamer is ca. 16m2 groot en gelegen op de begane grond aan de voorzijde van de woning. De kamer is voorzien van dubbelglas, de kunststof kozijnen zijn recentelijk geplaatst. De keuken wordt gedeeld met vier medebewoners. De badkamer en de twee toiletten met vijf. Daarnaast beschikt de woning over een ruime tuin waar men in de zomer lekker kan zitten en een fietsenschuur.
Het huis is gelegen in de wijk Vinkhuizen nabij Zernike Campus Groningen.
De huurprijs bedraagt €310,- exclusief per maand. De nutsvoorzieningen zoals gas, water, elektra, internet en TV worden door de bewoners zelf verzorgd en bedragen ca. €50,- per persoon per maand. 
Per 1 mei zijn er drie kamers in deze woning beschikbaar. Wil je met vrienden of vriendinnen wonen, is dit de kans!
Geïnteresseerd in deze nette studentenkamer? Reageer direct of bel 050-364 62 19.","€ 20,-",050 Vastgoed,1960-1970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,"Briljantstraat 60 (K2), 9743 NS Groningen",In verhuur genomen,"€ 310,- p.m.",-,-,-,13,-,Sontweg 15 a,9723 AT  Groningen,050-3646219,klantenservice@050vastgoed.nl,16 m²,-,48 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Studentenkamer,bestaande bouw,1960,-,Geen tuin,-,Geen garage,"PER 1 MEI BESCHIKBAAR: NETTE STUDENTENKAMER NABIJ ZERNIKE.
 
Aan de Briljantstraat is per 1 mei deze knusse kamer beschikbaar. De kamer is ca. 16m2 groot en gelegen op de begane grond aan de voorzijde van de woning. De kamer is voorzien van dubbelglas, de kunststof kozijnen zijn recentelijk geplaatst. De keuken wordt gedeeld met vier medebewoners. De badkamer en de twee toiletten met vijf. Daarnaast beschikt de woning over een ruime tuin waar men in de zomer lekker kan zitten en een fietsenschuur.
Het huis is gelegen in de wijk Vinkhuizen nabij Zernike Campus Groningen.
De huurprijs bedraagt €310,- exclusief per maand. De nutsvoorzieningen zoals gas, water, elektra, internet en TV worden door de bewoners zelf verzorgd en bedragen ca. €50,- per persoon per maand. 
Per 1 mei zijn er drie kamers in deze woning beschikbaar. Wil je met vrienden of vriendinnen wonen, is dit de kans!
Geïnteresseerd in deze nette studentenkamer? Reageer direct of bel 050-364 62 19.","€ 20,-",050 Vastgoed,1960-1970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,"Van Heuven Goedhartlaan 2 J1, 3527 CK Utrecht",In verhuur genomen,"€ 323,- p.m.","€ 290,-","€ 17,06",In overleg,15,-,Amsterdamsestraatweg 562,3553 EP  Utrecht,030-2230231,info@domvast.nl,17 m²,-,40 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,1959,-,Geen tuin,-,Geen garage,"In het studenten complex aan de Van Heuven Goedhartlaan in Utrecht bieden wij doorlopend kamers ter huur aan van ca. 11m² - 17m². Kamer 2J-1 betreft heeft een oppervlakte van 17m².
Op elke verdieping bevinden zich vijf kamers, voorzien van een gedeelde badkamer, keuken en apart toilet. Elke kamer is voorzien van bergruimtes/ inloopkast en heeft een eigen wastafel met spiegel.
Extra voorzieningen
Het complex beschikt over twee fietsenstallingen. Aan de voorzijde is een buitenstalling welke is afgesloten met een hek. Inpandig is er de mogelijkheid om je fiets te stallen. Beide stallingen zijn enkel met een sleutel van het complex te betreden. Daarnaast biedt het complex de studenten de mogelijkheid om hun was te doen in de daarvoor bestemde wasruimte. Dit is geheel kosteloos en wasmiddel is aanwezig. Tot slot is er dagelijks een huismeester aanwezig.
Bereikbaarheid
De binnenstad is 10 minuten fietsen of 5 minuten met de sneltram. De diverse uitvalswegen A2, A12 en A27 zijn gemakkelijk bereikbaar. Op loopafstand bevinden zich een groot winkelcentrum en het openbaar vervoer. Park Transwijk, waar ook festivals worden georganiseerd, ligt eveneens op loopafstand, evenals een sportschool en sportvelden.
Bijzonderheden:
- Huurprijs is € 322,53
- Servicekosten € 129,09 (incl gebruik wasmachines/drogers, g/w/e, internet)
- Kamers zijn alleen beschikbaar voor studenten
- Roken en huisdieren zijn niet toegestaan
- Beschikbaar in overleg 
U dient over een netto maandinkomen van 3x de maandhuur (inclusief eventuele voorschotten/servicekosten) te beschikken. Is dat niet het geval dan is het mogelijk te huren met een garantsteller. In dat geval zal de garantsteller aan deze inkomenseis moeten voldoen. 
Om een bezichtiging in te plannen dient u zich vooraf in te schrijven via onze website. 
Na uw inschrijving kunt u een mail sturen met uw naam, telefoonnummer en het object dat u wilt bezichtigen. Telefonisch een afspraak inplannen is niet mogelijk.","€ 129,-",Domvast B.V.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,"Zuiderpark 9 (K13), 9724 AE Groningen",In verhuur genomen,"€ 335,- p.m.","€ 335,-","€ 33,50",Direct,12,-,Sontweg 15 a,9723 AT  Groningen,050-3646219,klantenservice@050vastgoed.nl,10 m²,-,30 m³,1 kamer,-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Studentenkamer,bestaande bouw,1880,-,Geen tuin,-,Geen garage,"PER DIRECT BESCHIKBAAR: LEUKE KAMER MET EIGEN WASTAFEL
In dit prachtige monumentale pand aan het Zuiderpark komt per 1 maart deze studentenkamer beschikbaar. De kamer is circa 10m2 groot en beschikt over een eigen wastafel. In deze woning wonen meerdere studenten, de keuken, badkamer en het toilet deel je met vijf medebewoners.
De woning is gelegen in de gezellige Oosterpoortbuurt. Voorzieningen als supermarkten en openbaar vervoer zijn op loopafstand. Tevens sta je binnen enkele minuten fietsen midden op de Grote Markt!
De huurprijs bedraagt €335,- inclusief per maand. De kamer wordt inclusief een voorschot aan gas, water, licht, tv & internet en belastingen verhuurd. 
Let op: de kamer ernaast is ook vrij, indien je wil samenwonen met een vriend of vriendin is dit de kans!
Wil je de kamer bezichtigen? Reageer dan via de website of bel ons op 050 - 364 62 19.","€ 40,-",050 Vastgoed,-1906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
