,House,Type_transaction,Prijs op aanvraag,Transactieprijs,Transactieprijs per m²,Aanvaarding,days_on_market,NVM makelaar,Adres,Plaats,Telefoon,E-mail,Oppervlakten_en_inhoud_Woonoppervlakte,Oppervlakten_en_inhoud_Gebouwgebonden buitenruimte,Oppervlakten_en_inhoud_Externe bergruimte,Oppervlakten_en_inhoud_Perceeloppervlakte,Oppervlakten_en_inhoud_Inhoud,Indeling_Aantal kamers,Indeling_Aantal badkamers,Indeling_Badkamervoorz.,Indeling_Aantal woonlagen,Indeling_Voorzieningen,Energie_Isolatie,Energie_Verwarming,Energie_Warm water,Energie_C.V. ketel,Onderhoud_Binnen,Onderhoud_Buiten,Bouw_Type,Bouw_Soort,Bouw_Bouwvorm,Bouw_Bouwjaar,Buitenruimte_Ligging,Buitenruimte_Tuin,Buitenruimte_Achtertuin,Buitenruimte_Totale oppervlakte,Buitenruimte_Achterom,Buitenruimte_Kwaliteit,Bergruimte_Schuur/berging,Bergruimte_Voorzieningen,Parkeergelegenheid_Soort parkeergelegenheid,Garage_Soort garage,Text_house,Huurprijs,VBO makelaar,TAO makelaar,LMV makelaar,Bouw_Bouwperiode,69 dagen op de markt,"Aangemeld voor (Huur) € 700,- en (Huur) € 800,- op 30-12-2020",Servicekosten,Oppervlakten_en_inhoud_Overige inpandige ruimte,Energie_Energielabel,Bouw_Subtype,Garage_Capaciteit,Bergruimte_Isolatie,VGM makelaar,104 dagen op de markt,"Aangemeld voor (Huur) € 788,- op 03-12-2020",86 dagen op de markt,"Aangemeld voor (Huur) € 825,- op 08-12-2020",63 dagen op de markt,"Aangemeld voor (Huur) € 875,- en (Huur) € 850,- en (Huur) € 799,- op 19-01-2021",Buitenruimte_Plaats,Parkeergelegenheid_Parkeercapaciteit,Buitenruimte_Voortuin,41 dagen op de markt,"Aangemeld voor (Huur) € 805,- op 27-01-2021","Aangemeld voor (Huur) € 895,- op 18-12-2020",Buitenruimte_Balkon/dakterras,47 dagen op de markt,"Aangemeld voor (Huur) € 925,- op 25-01-2021",Garage_Voorzieningen,Buitenruimte_Geen tuin,Garage_Isolatie,Buitenruimte_Patio/atrium,13 dagen op de markt,"Aangemeld voor (Huur) € 795,- op 04-03-2021",45 dagen op de markt,"Aangemeld voor (Huur) € 900,- op 15-02-2021",25 dagen op de markt,"Aangemeld voor (Huur) € 850,- op 02-03-2021",20 dagen op de markt,"Aangemeld voor (Huur) € 1,- op 05-03-2021","Aangemeld voor (Huur) € 867,- op 27-01-2021",89 dagen op de markt,"Aangemeld voor (Huur) € 1.095,- op 24-12-2020",57 dagen op de markt,"Aangemeld voor (Huur) € 995,- op 15-01-2021",217 dagen op de markt,"Aangemeld voor (Huur) € 1.400,- en (Huur) € 1.295,- op 19-08-2020","Aangemeld voor (Huur) € 1.150,- op 11-02-2021","Aangemeld voor (Huur) € 1.200,- op 12-02-2021",75 dagen op de markt,"Aangemeld voor (Huur) € 1.175,- op 05-01-2021",3 dagen op de markt,"Aangemeld voor (Huur) € 1.150,- en (Huur) € 1,- op 04-03-2021",71 dagen op de markt,"Aangemeld voor (Huur) € 995,- en (Huur) € 1.295,- en (Huur) € 1.200,- en (Huur) € 800,- en (Huur) € 1.195,- op 20-01-2021",32 dagen op de markt,"Aangemeld voor (Huur) € 1.250,- op 05-02-2021",43 dagen op de markt,"Aangemeld voor (Huur) € 1.195,- op 18-01-2021",30 dagen op de markt,"Aangemeld voor (Huur) € 1.350,- op 19-02-2021",Buitenruimte_Zijtuin,88 dagen op de markt,"Aangemeld voor (Huur) € 1.295,- op 07-12-2020",81 dagen op de markt,"Aangemeld voor (Huur) € 1.450,- en (Huur) € 1.395,- en (Huur) € 1.350,- op 08-01-2021",50 dagen op de markt,"Aangemeld voor (Huur) € 1.350,- op 01-02-2021",15 dagen op de markt,"Aangemeld voor (Huur) € 1.390,- op 08-03-2021",262 dagen op de markt,"Aangemeld voor (Huur) € 1.450,- op 30-06-2020","Aangemeld voor (Huur) € 1.450,- op 22-02-2021",72 dagen op de markt,"Aangemeld voor (Huur) € 1.850,- op 06-01-2021",38 dagen op de markt,"Aangemeld voor (Huur) € 1.650,- op 02-02-2021","Aangemeld voor (Huur) € 1.700,- op 03-03-2021",65 dagen op de markt,"Aangemeld voor (Huur) € 1.695,- op 12-01-2021",239 dagen op de markt,"Aangemeld voor (Huur) € 1.750,- op 07-07-2020",84 dagen op de markt,"Aangemeld voor (Huur) € 1.750,- op 08-12-2020","Aangemeld voor (Huur) € 2.100,- en (Huur) € 1.950,- op 04-01-2021",56 dagen op de markt,"Aangemeld voor (Huur) € 1.895,- op 08-01-2021","Aangemeld voor (Huur) € 1.995,- op 27-12-2020","Aangemeld voor (Huur) € 1.895,- op 12-01-2021",123 dagen op de markt,"Aangemeld voor (Huur) € 1.900,- op 30-10-2020",116 dagen op de markt,"Aangemeld voor (Huur) € 1.950,- op 06-11-2020",80 dagen op de markt,"Aangemeld voor (Huur) € 1.850,- op 19-12-2020",76 dagen op de markt,"Aangemeld voor (Huur) € 1.995,- op 31-12-2020",95 dagen op de markt,"Aangemeld voor (Huur) € 1.950,- op 04-12-2020",92 dagen op de markt,"Aangemeld voor (Huur) € 1.900,- en (Huur) € 1.950,- op 09-12-2020",162 dagen op de markt,"Aangemeld voor (Huur) € 2.500,- en (Huur) € 2.250,- op 16-10-2020",29 dagen op de markt,"Aangemeld voor (Huur) € 2.150,- op 08-02-2021",221 dagen op de markt,"Aangemeld voor (Huur) € 2.400,- en (Huur) € 2.100,- op 17-08-2020",93 dagen op de markt,"Aangemeld voor (Huur) € 2.500,- op 28-12-2020",363 dagen op de markt,"Aangemeld voor (Huur) € 2.400,- en (Huur) € 2.350,- en (Huur) € 2.200,- op 04-03-2020",35 dagen op de markt,"Aangemeld voor (Huur) € 2.200,- op 24-02-2021",150 dagen op de markt,"Aangemeld voor (Huur) € 3.000,- en (Huur) € 2.500,- op 12-10-2020",97 dagen op de markt,"Aangemeld voor (Huur) € 2.750,- op 02-12-2020",103 dagen op de markt,"Aangemeld voor (Huur) € 2.650,- op 19-11-2020","Aangemeld voor (Huur) € 3.250,- en (Huur) € 2.950,- op 06-08-2020",49 dagen op de markt,"Aangemeld voor (Huur) € 2.800,- op 05-02-2021",33 dagen op de markt,"Aangemeld voor (Huur) € 2.950,- op 15-02-2021",124 dagen op de markt,"Aangemeld voor (Huur) € 3.750,- op 02-11-2020","Aangemeld voor (Huur) € 3.350,- en (Huur) € 3.200,- op 11-02-2021","Aangemeld voor (Huur) € 3.500,- op 28-01-2021",181 dagen op de markt,"Aangemeld voor (Huur) € 6.900,- en (Huur) € 5.900,- op 10-09-2020",Bouw_Soort Woonhuis,1.050 dagen op de markt,"Aangemeld voor (Huur) € 2.400,- op 17-04-2018",Buitenruimte_Ligging tuin,Vraagprijs
1,"Vlier 54, 7577 AR Oldenzaal",In verhuur genomen,Prijs op aanvraag,"€ 1.000,-","€ 10,20",In overleg,40,HOME makelaars,Steenstraat 56,7571 BL  Oldenzaal,0541-532500,hello@homemakelaars.nl,98 m²,1 m²,8 m²,130 m²,320 m³,5 kamers (3 slaapkamers),1,"Douche, Toilet, Wastafel",2 woonlagen,"Mechanische ventilatie, rolluiken, tv kabel, dakraam, glasvezel kabel en natuurlijke ventilatie","Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",C.V.-Ketel en vloerverwarming gedeeltelijk,C.V.-Ketel,"Intergas (Gas gestookt combiketel uit 2019, eigendom)",goed,goed,Woonhuis,"Eengezinswoning, tussenwoning",bestaande bouw,1979,Aan rustige weg en in woonwijk,Achtertuin en voortuin,59 m² (11.0m diep / 5.4m breed),77 m²,Ja,Normaal,Vrijstaand steen,Voorzien van elektra en met vliering,Openbaar parkeren,Geen garage,#almost te huur: Vlier 54 Oldenzaal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,"Florrie Rodrigostraat 24, 1326 SH Almere",In verhuur genomen,-,"€ 495,-","€ 41,25",Per datum 19-02-2021,64,-,Rentmeesterstraat 40,1315 JS  Almere,036-5407335,info@interimmo.nl,12 m²,-,-,-,30 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,-,redelijk,redelijk,Woonhuis,"Eengezinswoning, tussenwoning",bestaande bouw,1998,-,Achtertuin en voortuin,-,-,-,-,Vrijstaand hout,-,Openbaar parkeren,Geen garage,"LET OP: dit betreft een kamer in een gedeelde woning!
In de centraal gelegen Danswijk ligt deze gestoffeerde kamer van circa 12 m². 
De kamer bevind zich aan de achterzijde op de 1e verdieping van een keurige woning met een zonnige achtertuin op het zuiden, achterom en vrijstaande houten buitenberging. Medegebruik van keuken, badkamer en achtertuin. 
Onder voorbehoud gunning verhuurder.
In de nabije omgeving van deze woning treft u diverse openbare voorzieningen, waaronder: scholen, supermarkt, openbaar vervoer (bus stopt praktisch voor de deur) en diverse sport- en recreatievoorzieningen. Tevens heeft u vanaf deze woonlocatie een snelle verbinding met de rijkswegen A6 en A27 richting Amsterdam, Lelystad, Utrecht en ’t Gooi. Met de bus bereikt u snel station Parkwijk of busstation ’t Oor.
Eisen aan de huurder:
Arbeidscontract minimaal 12 maanden geldig
Minimaal bruto inkomen van 1400 euro per maand
Maximaal 1 persoon
Rustig en werkend persoon
Niet rokend
Geen huisdieren
Borg van 495 euro
Let op: Het betreft alleen de huur van deze kamer. 
Gelieve niet te reageren als u niet aan bovenstaande eisen voldoet.
De kamer is per 19 februari 2021 te huur voor 495 euro per maand inclusief gas/ water/electriciteit.
Requirements for the tenant:
Working contract needs to be valid minumum 1 year
Gross monthly income min. 1400 euro
Maximum 1 person
Quiet and working person
Non-smoking
No pets
Deposit 495 euro
This room is available from February 19th 2021 for 495 euro a month including Gas/Water/Electricity","€ 495,- p.m.",Inter Immo makelaars Almere,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,"Lossersestraat 36, 7525 PG Enschede",In verhuur genomen,-,"€ 500,-","€ 4,67",Direct,3,-,President Kennedylaan 104,6883 AX  Velp,0263844200,vandenberg@dekabath.nl,107 m²,-,-,-,300 m³,5 kamers (3 slaapkamers),-,-,1 woonlaag,-,-,-,-,-,redelijk,redelijk,Woonhuis,"Woonboerderij, vrijstaande woning",bestaande bouw,1724,-,Tuin rondom,-,-,-,-,Vrijstaand steen,-,Op eigen terrein,Geen garage,"Gelegen in Enschede ligt deze karakteristieke en ruime vrijstaande woning.
Landelijk wonen in Enschede, dat kan zeker in deze buurt. De woning is redelijk tot goed bereikbaar met veel voorzieningen in de buurt. Gesitueerd op fietsafstand van het centrum van Enschede. Daarnaast is de dichtstbijzijnde uitvalsweg in de nabije omgeving op slechts 8 minuten rijden.
Algemene gegevens:
– bouwjaar 1724
– woonoppervlakte is 107 m2
– 3 slaapkamers
– 1 badkamer
Prijs: € 500,- exclusief nutsvoorzieningen per maand
Huurperiode: per direct beschikbaar
De woning wordt tijdelijk te huur aangeboden op basis van de Leegstandwet. Dit betekent dat de minimale periode 6 maanden bedraagt, maximaal is niet bekend.
Om in aanmerking te komen voor de woning dient het bruto maandinkomen 3 maal de huurprijs te bedragen.
Indien u interesse heeft, ontvangen wij graag een email met drie recente loonstrookjes en een profielschets. U kunt dit sturen naar ons mailadres info@dekabath.nl. Of reageer via het contactformulier. 
Wij vragen u om niet te bellen, maar een e-mail te sturen met uw vragen. Hartelijk dank.","€ 500,- p.m.",-,De Kabath Vastgoedbescherming BV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,"Broederplein 1, 3703 CC Zeist",In verhuur genomen,-,"€ 615,-","€ 8,66",In overleg,27,-,Postbus 675,3800 AR  Amersfoort,033-4671010,r.vandongen@kkgkka.nl,71 m²,-,-,-,142 m³,4 kamers (2 slaapkamers),-,-,4 woonlagen,-,-,-,-,-,goed,goed,Woonhuis,"Eengezinswoning, geschakelde woning",bestaande bouw,0,-,Geen tuin,-,-,-,-,-,-,-,Geen garage,"Het Broederplein is onderdeel van de monumentale omgeving rondom Slot Zeist nabij het centrum én buitengebied van Zeist. Broederplein 1 is onderverdeeld in 4 onzelfstandige wooneenheden, de woonkamer, keuken, badkamer en overige sanitaire voorzieningen worden gedeeld met andere bewoners. De woning is niet bedoeld als studentenhuis.
Huurprijs: 
- Kamer 2: 12,1m2 met een extra kamer/ruimte van 29,5m2, aanvangshuurprijs € 715/mnd
- Kamer 3: 16m2 met een extra kamer/ruimte van 13,3m2, aanvangshuurprijs € 615/mnd
- Waarborg: 1 maand huur
- Huurovereenkomst: 1 jaar met optie tot onbepaalde tijd
- Status: per 1 maart beschikbaar
- Aanvaarding: in overleg
- Bouw: geschakelde woning
- Soort bouw: bestaande woning
- Bouwperiode: ca. 1800
-  Woonoppervlakte: 71 m2 
- Externe bergruimte: geen
Indeling:
- Aantal kamers: 4 kamers (2 wooneenheden)
- Aantal badkamers: 1 badkamer en 2 aparte toiletten
- Aantal woonlagen: 3 woonlagen en een bergzolder
Energie
- Energielabel: niet bekend
- Verwarming: cv-ketel
- Warm water: cv-ketel
- Gasgestookte combiketel
- Buitenruimte: geen","€ 615,- p.m.",-,-,KKG,-1906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"Op den Oort 20 A, 6095 EB Baexem",In verhuur genomen,-,"€ 640,-","€ 9,14",Per datum 01-04-2021,23,-,Roersingel 6,6041 KX  Roermond,0475-331133,info@vaassen.nl,70 m²,-,-,-,210 m³,4 kamers (1 slaapkamer),-,-,1 woonlaag,-,Dubbel glas,-,-,-,goed,goed,Woonhuis,"Eengezinswoning, tussenwoning",bestaande bouw,1990,In woonwijk,Geen tuin,-,-,-,-,-,-,-,Geen garage,"Gelegen in het dorp Baexem bieden wij u deze woning te huur aan. Het dorp Baexem beschikt over diverse eigen voorzieningen waaronder en supermarkt, bakkerij, basisschool, huisarts en diverse cafés en restaurants. Het is gunstig gelegen t.o.v. de diverse uitvalswegen. De autosnelweg A2 richting Maastricht en Eindhoven bevindt zich op ca. 6 km afstand. Het centrum van Roermond bevindt zich op ca. 10 autominuten. 
De woning heeft een woonoppervlakte van ± 70 m². 
Indeling: 
Begane grond: 
Entree/hal met tegelvloer. Toilet met fonteintje. 
Gezellige woonkamer met open keuken. 
Slaapgedeelte: 
1 slaapkamer. Badkamer voorzien van douche en wastafel. 
Overig:
Bergruimte voorzien van CV-gasinstallatie en wasmachine-aansluiting. Vanuit de berging is er toegang tot het terras welke is afgeschermd met een houten schutting. 
De woning is voorzien van een laminaatlook vinyl vloer en de slaapkamer van vloerbedekking (de foto's zijn nog zonder vloer).","€ 640,- p.m.",-,-,AB&P Vaassen Makelaardij,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,"Lambert Jacobszstraat 28, 8921 AS Leeuwarden",In verhuur genomen,-,"€ 645,-","€ 8,06",Per datum 01-03-2021,19,Hoekstra Vastgoedbeheer,Willemskade 9,8911 AW  Leeuwarden,+31582337333,vastgoed@makelaardijhoekstra.nl,80 m²,-,-,-,208 m³,4 kamers (3 slaapkamers),-,-,1 woonlaag,-,-,C.V.-Ketel,C.V.-Ketel,-,goed,goed,Woonhuis,"Eengezinswoning, tussenwoning",bestaande bouw,0,-,Achtertuin en voortuin,-,-,-,Normaal,-,-,-,Geen garage,"Via de website van Makelaardij Hoekstra kunt u zich inschrijven voor deze huurwoning. 
Eengezinswoning gelegen op slechts 10 minuten lopen van het levendige centrum van Leeuwarden.
Indeling:
Begane grond: hal, woonkamer, dichte keuken, bijkeuken en toilet. De woning heeft zowel een voortuin als een achterplaats.
Eerste verdieping: overloop, 3 slaapkamers, badkamer met douche en wastafel.
Tweede verdieping: zolderberging.
De getoonde foto's zijn van een vergelijkbare woning.
Deze woning wordt niet verhuurd aan studenten.","€ 645,- p.m.",-,-,-,1945-1959,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,"De Bongerd 24, 8507 CL Rohel",In verhuur genomen,-,"€ 650,-","€ 10,83",In overleg,80065011012021,-,Zwartsstraat 13,8441 GH  Heerenveen,0513-640000,info@regentmakelaars.nl,60 m²,-,-,450 m²,130 m³,1 kamer,-,-,1 woonlaag,-,-,-,-,-,redelijk tot goed,redelijk tot goed,Woonhuis,"Stacaravan, vrijstaande woning",bestaande bouw,0,"Aan park, aan rustige weg, beschutte ligging en buiten bebouwde kom","Achtertuin, voortuin en zijtuin",-,-,-,-,-,-,Openbaar parkeren en op eigen terrein,Geen garage,"Per direct beschikbaar!
Op het kleinschalige park Bongerd te Rohel ligt een sfeervolle houten chalet met veranda en en een berging.
De kavel is privacy biedend en er zijn diverse terrassen op de kavel aanwezig. Rohel ligt centraal tussen Heerenveen en Joure in. Op fietsafstand van dit park vindt u een strandpaviljoen en een strandje met jachthaven.
Extra:
Huurprijs: € 650,- 
Verbruikskosten: € 150,-
De genoemde afmetingen zijn een inschatting waar geen rechten aan ontleend kunnen worden.
Bent u geïnteresseerd in deze woning of wilt u meer weten? Neem dan contact met ons op via 0513 - 640 000.","€ 650,- p.m.",Regent Makelaars,-,-,1991-2000,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,"Wredehof 12 B, 8507 CN Rohel",In verhuur genomen,-,"€ 650,-","€ 10,83",Direct,13,-,Zwartsstraat 13,8441 GH  Heerenveen,0513-640000,info@regentmakelaars.nl,60 m²,-,3 m²,-,125 m³,3 kamers (2 slaapkamers),-,-,1 woonlaag,-,-,-,-,-,goed,goed,Woonhuis,"Eengezinswoning, vrijstaande woning",bestaande bouw,2000,"Aan park, aan rustige weg en landelijk gelegen",Geen tuin,-,-,-,-,Vrijstaand hout,-,Openbaar parkeren,Geen garage,"Prachtig Zweeds huisje met tuin, geheel gemeubileerd en van alle gemakken voorzien.
Gelegen op 1 km afstand van het mooie Tjeukemeer, ideaal voor wandel-, watersport en visserij.
Tevens vertoeft u in een prachtige bos- en fietsrijke omgeving, dichtbij Heerenveen en Joure.
Indeling:
Woonkamer met keuken, evenals een bijkeuken voor wasgelegenheid. De badkamer is voorzien van een aparte douchecabine. Verder zijn er 2 slaapkamers. Buiten is een veranda en de tuin biedt veel privacy.
Extra's:
- Te huur vanaf 1 april 2021
- Kale huurprijs: € 650,-
- Servicekosten: € 250,- (G/W/E en internet)
- Fietsschuurtje aanwezig
- Gemeubileerd
- Wasmachine aanwezig
Het huisje is geschikt voor maximaal 2 personen en huisdieren zijn niet toegestaan.
U kunt zich niet inschrijven op dit adres!
De genoemde afmetingen zijn een inschatting waar geen rechten aan ontleend kunnen worden.
Bent u geïnteresseerd in deze woning of wilt u meer weten? Neem dan contact met ons op via 0513 - 640 000.","€ 650,- p.m.",Regent Makelaars,-,-,-,-,-,"€ 250,-",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,"Meester Delhoofenstraat 6, 6097 AA Heel",Direct verhuurd,-,"€ 660,-","€ 7,50",In overleg,1,Briaire Makelaardij,Venlosepoort 1,6041 CG  Roermond,0475-475094,info@vickybriaire.nl,88 m²,-,-,120 m²,315 m³,3 kamers (2 slaapkamers),1,"Douche, Toilet, Wastafel",2 woonlagen,"Mechanische ventilatie, tv kabel en dakraam","Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",C.V.-Ketel,C.V.-Ketel,-,redelijk tot goed,redelijk tot goed,Woonhuis,"Bungalow, tussenwoning",bestaande bouw,1989,Aan rustige weg en in centrum,Achtertuin en voortuin,35 m² (7.0m diep / 5.0m breed),54 m²,Ja,Normaal,-,-,Openbaar parkeren,Geen garage,"Rustig gelegen semi-bungalow met 2 ruime slaapkamers, waarvan 1 op de begane grond. Zeer geschikt voor (semi-)senioren, waar als huurder ook onze voorkeur naar uit gaat.  
Indeling begane grond: 
Entreehal met meterkast met 4 groepen en 2 aardlekschakelaars. 
L-vormige woonkamer van ca. 24m² incl. keuken. Verscholen keuken met 3 boven en 3 onderkasten. 
Praktische bijkeuken met toegangsdeur naar de achtertuin. In de bijkeuken is een wasmachine aansluiting aanwezig. Tevens is hier de Vaillant CV-combiketel (2012) opgesteld. 
Op de begane grond bevindt zich 1 slaapkamer van 3.88m x 3.22m. Deze staat in directe verbinding met de licht betegelde badkamer. De eenvoudige badkamer is voorzien van een inloopdouche, wastafel en een toilet. Via de woonkamer is een kleine hal bereikbaar met toegang tot de badkamer en een trapopgang naar de eerste verdieping. 
Indeling eerste verdieping: 
Overloop, aparte bergkast met opstelling van de mechanische ventilatie. De 2e (slaap-)kamer is dankzij zijn oppervlakte van maar liefst ca. 32m² (gemeten vanaf 1.50m hoogte) multifunctioneel te gebruiken. 
Tuin: 
Betegelde halfopen achtertuin met eigen achterom via de Dorpsstraat. De achtertuin biedt fijne privacy.","€ 660,- p.m.",-,-,-,-,-,-,"€ 6,60",5 m²,C (einddatum: 23-03-2027),Repeterend permanent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,"Mounebuorren 3, 9074 CJ Hallum",Direct verhuurd,-,"€ 675,-","€ 10,38",In overleg,1,Frans Hettema Makelaardij B.V.,Groningerstraatweg 1 I,8922 AP  Leeuwarden,058-7600850,info@franshettema.nl,65 m²,-,-,-,250 m³,3 kamers (1 slaapkamer),-,-,2 woonlagen,-,-,-,-,-,goed,goed,Woonhuis,"Eengezinswoning, 2-onder-1-kapwoning",bestaande bouw,1910,-,Geen tuin,-,-,-,-,-,-,-,Geen garage,Twee onder een kapwoning met 1 slaapkamer,"€ 675,- p.m.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
