Название,Город,Год основания,Статус,Аккредитация,Документ об окончании,Форма обучения,Квалиф. уровни,Адрес,Телефон,Телефон приемное комиссии,Сайт
Национальный университет «Одесская юридическая академия»,"
Одесса",1997,государственный,IV,дипломгос.образца,"
дневная,заочная,вечерняя","
бакалавр,специалист,магистр
","
ул.Академическая,2,г.Одесса,65009","
(048)719-88-01

","
(0482)719-88-00

",onua.edu.ua
Одесский технологический университет ШАГ,"
Одесса",2018,частный,IV,"Дипломгосударственногообразца,сертификатыкомпаний-партнеров","
дневная,заочная","
бакалавр
","
ул.Садовая,3,г.Одесса,65014","
(048)728-66-60

","
(048)728-66-60,(050)448-53-33,(073)797-88-21,(067)549-76-77

",otu.itstep.org
Одесский институт Межрегиональной Академии управления персоналом,"
Одесса",1998,частный,IV,дипломгос.образца,"
дневная,заочная,дистанционная","
бакалавр,магистр
","
ул.Черноморскогоказачества,19,г.Одесса","
(048)723-23-21,(048)700-83-06

","
(048)723-23-21,(048)700-83-06

",odessa.maup.com.ua
Одесская национальная академия пищевых технологий (ОНАПТ),"
Одесса",1902,государственный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,специалист,магистр
","
ул.Канатная,112,г.Одесса,65039","
(048)725-32-84,(048)712-41-40

","
(048)712-40-88,(048)722-80-99,(048)718-97-09

",onaft.od.ua
Одесский национальный экономический университет (ОНЭУ),"
Одесса",1921,государственный,IV,дипломгос.образца,"
дневная,заочная,вечерняя","
бакалавр,магистр
","
ул.Преображенская,8,г.Одесса,65082","
(048)723-80-73

","
(048)723-80-73

",oneu.edu.ua
Одесская национальная академия связи им. А.С. Попова (ОНАС им. А.С. Попова),"
Одесса",1920,государственный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,магистр
","
ул.Кузнечная,1,г.Одесса,65029","
(048)705-03-33

","
(048)705-04-11,(048)705-04-13

",onat.edu.ua
Государственное учреждение «Южноукраинский национальный педагогический университет имени К. Д. Ушинского»,"
Одесса",1817,государственный,IV,дипломгос.образца,"
дневная,заочная,вечерняя","
бакалавр,магистр
","
ул.Старопортофранковская,26,г.Одесса,65020","
(048)723-40-98

","
(048)732-48-02

",pdpu.edu.ua
Институт Военно-Морских Сил Национального университета «Одесская Морская Академия»,"
Одесса",2014,государственный,IV,Дипломгосударственногообразца,"
дневная,заочная","
бакалавр,магистр
","
ул.Дидрихсона,8,г.Одесса,65029","
(050)686-37-27

","
(099)609-70-40,(063)379-15-23

",fvms.onma.edu.ua
Международный гуманитарный университет,"
Одесса",2002,частный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,специалист,магистр
","
ул.Фонтанскаядорога,33,г.Одесса,65009","
(048)719-88-38

","
(048)719-88-38

",mgu.edu.ua
"Национальный университет ""Одесская морская академия""","
Одесса",1944,государственный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,магистр
","
ул.Дидрихсона,8,г.Одесса,65029","
(048)793-16-72

","
(048)793-16-91,(048)793-24-83

",www.onma.edu.ua
